Frame	Latency_Norm	Power
0	0	0
1	1.053901808	48.0652
2	1.0505815626	48.045689
3	1.0673435048	47.863861
4	1.0524418625	48.024881
5	1.0432478392	48.1638
6	1.040368103	48.171981
7	1.0437958471	48.13127
8	1.0382296938	48.159492
9	1.0322058549	48.226519
10	1.0395550704	48.102315
11	1.0395488566	48.090635
12	1.0453471598	48.015678
13	1.0433155944	48.032379
14	1.0437713337	48.0742
15	1.0437786876	48.054543
16	1.0494162229	47.973618
17	1.0488270967	47.979504
18	1.0470540871	47.994615
19	1.0445331485	47.997423
20	1.041342603	48.007338
21	1.0393484325	48.045702
22	1.0367193018	48.039908
23	1.0376013769	48.065998
24	1.037121428	48.130787
25	1.038493582	48.1274
26	1.0365248018	48.142611
27	1.0347111979	48.147217
28	1.035580742	48.135384
29	1.034165466	48.133077
30	1.0329183326	48.138391
31	1.0347548278	48.097952
32	1.0341189449	48.091041
33	1.0336021474	48.085636
34	1.0321480575	48.092681
35	1.0314438228	48.08965
36	1.0310421	48.09506
37	1.0291009157	48.108797
38	1.0277006431	48.11669
39	1.0288049967	48.094765
40	1.0283397583	48.094028
41	1.0266352824	48.09904
42	1.0260569734	48.099759
43	1.023228044	48.123643
44	1.0235354296	48.108653
45	1.0230524406	48.098999
46	1.022722072	48.098105
47	1.0231327763	48.083634
48	1.0248736843	48.057337
49	1.027371488	48.026797
50	1.0254493455	48.050079
51	1.0248484762	48.059092
52	1.0244077963	48.0623
53	1.0261593677	48.039115
54	1.0250076235	48.021504
55	1.0235967193	48.031355
56	1.0225037743	48.043573
57	1.0211414574	48.044099
58	1.0202116684	48.051011
59	1.0197037353	48.059024
60	1.0212629499	48.042936
61	1.0204120679	48.033316
62	1.0207180241	48.030577
63	1.0199504865	48.001534
64	1.0222265269	47.916911
65	1.0192942203	47.925654
66	1.0191560573	47.914717
67	1.0193599388	47.920927
68	1.0182327298	47.937047
69	1.0182845724	47.953194
70	1.0205388547	47.937833
71	1.0205162026	47.958987
72	1.0233303981	47.940654
73	1.0246843908	47.935716
74	1.0273408797	47.916808
75	1.0272720175	47.936307
76	1.0302987686	47.898407
77	1.0334149559	47.874923
78	1.0345966534	47.868323
79	1.0373113098	47.859548
80	1.0374646646	47.867415
81	1.0385218926	47.870791
82	1.0413648336	47.846007
83	1.0441418811	47.825465
84	1.0439734674	47.836164
85	1.0447939745	47.8666
86	1.0544332724	47.831512
87	1.0528354966	47.856351
88	1.0523142231	47.871542
89	1.0509442603	47.885092
90	1.0512303995	47.879973
91	1.0509180294	47.873044
92	1.0479865166	47.893152
93	1.0448540156	47.914687
94	1.0439565745	47.923648
95	1.0433422635	47.918521
96	1.0393470822	47.944915
97	1.0383843985	47.948691
98	1.0382377783	47.938459
99	1.0383887115	47.934036
100	1.0386993407	47.92282
101	1.0413656469	47.897309
102	1.0425675102	47.906429
103	1.0446174389	47.898037
104	1.0422513045	47.949397
105	1.045673721	47.932333
106	1.0465097722	47.940818
107	1.0467011904	47.943204
108	1.0470623096	47.935012
109	1.0475451957	47.925287
110	1.0463627646	47.934045
111	1.0449743916	47.952177
112	1.0418481762	47.98693
113	1.0447167499	47.955027
114	1.0448501946	47.948142
115	1.0457415183	47.938027
116	1.0427833138	47.977374
117	1.0416007529	47.993879
118	1.0424107416	48.007067
119	1.0389105776	48.039578
120	1.0386917885	48.039397
121	1.0383091965	48.038155
122	1.0353030578	48.075957
123	1.0349794595	48.07592
124	1.0359347641	48.063205
125	1.0375448576	48.010446
126	1.0290969443	48.024011
127	1.028529876	48.018842
128	1.0263376194	48.025719
129	1.0241216493	48.042546
130	1.0219713623	48.046013
131	1.0212543454	48.040582
132	1.0218661473	48.069136
133	1.0316797914	48.053548
134	1.032287901	48.085882
135	1.0397682772	48.131771
136	1.0516648775	48.236188
137	1.0586951159	48.319701
138	1.0726791046	48.328617
139	1.0799865002	48.390633
140	1.0875611821	48.469121
141	1.0892365187	48.553446
142	1.1009141992	48.635125
143	1.1035347321	48.731333
144	1.1079856682	48.795713
145	1.1106319968	48.854145
146	1.1136893018	48.910896
147	1.1203229667	48.981671
148	1.1236816756	49.040398
149	1.1297759513	49.100153
150	1.140825821	49.174585
151	1.1470020807	49.255239
152	1.1526912459	49.326638
153	1.1550862055	49.455459
