Frame	Latency_Norm	Power
154	1.1656244527	49.513677
155	1.1784062939	49.58434
156	1.1846723537	49.646665
157	1.1903911625	49.720495
158	1.2002345258	49.778648
159	1.2116530734	49.7986
160	1.2168451525	49.870893
161	1.2285351868	49.927096
162	1.237713374	49.952033
163	1.2388050734	50.011899
164	1.2426373736	50.082689
165	1.2445345487	50.157765
166	1.244330132	50.239651
167	1.2455588044	50.29559
168	1.2489189046	50.34401
169	1.2520467051	50.378982
170	1.2592908115	50.432712
171	1.26330497	50.499928
172	1.2743796798	50.53043
173	1.2716943101	50.628246
174	1.2801970479	50.663872
175	1.2813251978	50.700011
176	1.2751365273	50.694572
177	1.2752568606	50.69431
178	1.2692843965	50.757246
179	1.2665739112	50.756356
180	1.2617253716	50.785845
181	1.2619606262	50.788416
182	1.2570192742	50.805011
183	1.272118564	50.722993
184	1.270917717	50.716711
185	1.2698860182	50.739561
186	1.2703046286	50.746361
187	1.2763917936	50.715402
188	1.2825910391	50.677794
189	1.2805966556	50.67782
190	1.2757262151	50.668528
191	1.2724301603	50.65963
192	1.2767857684	50.639904
193	1.2805974756	50.643087
194	1.2765245852	50.691315
195	1.270454718	50.68339
196	1.2727107275	50.683999
197	1.2743541016	50.651135
198	1.2699077888	50.662487
199	1.2612567162	50.70337
200	1.2609263206	50.698668
201	1.253873293	50.71461
202	1.251167887	50.729326
203	1.2565083204	50.72408
204	1.2528043242	50.72595
205	1.2524128516	50.728197
206	1.2572219544	50.741313
207	1.2601203415	50.742842
208	1.2662459354	50.728017
209	1.2692719107	50.732777
210	1.2722901254	50.714433
211	1.2722245705	50.70432
212	1.2714089372	50.683619
213	1.2777964656	50.618428
214	1.276447188	50.613058
215	1.2766089182	50.59571
216	1.2819436317	50.540098
217	1.2791375543	50.526828
218	1.2758547988	50.545144
219	1.2811376502	50.547804
220	1.2842423147	50.54547
221	1.2883700766	50.549096
222	1.2859214109	50.532015
223	1.2696409487	50.610557
224	1.2723957558	50.62855
225	1.2725625337	50.628138
226	1.2746460786	50.637174
227	1.2717549583	50.643735
228	1.2737368829	50.712784
229	1.2808488441	50.654227
230	1.2803248952	50.676935
231	1.283415734	50.684919
232	1.2828078097	50.671331
233	1.2801859854	50.631576
234	1.2806429852	50.601205
235	1.2798947415	50.56247
236	1.2779826277	50.562266
237	1.2737405333	50.593981
238	1.2715196758	50.585812
239	1.2701194865	50.57404
240	1.2747025402	50.53607
241	1.2749662293	50.536796
242	1.2748890209	50.538047
243	1.2666457037	50.553385
244	1.2671147607	50.545633
245	1.2758055596	50.550835
246	1.2785067042	50.558845
247	1.2811868915	50.60928
248	1.2848111552	50.624572
249	1.2855246708	50.658108
250	1.2858184829	50.700234
251	1.2896731678	50.703159
252	1.282193885	50.712486
253	1.2728670567	50.751805
254	1.2679586531	50.746098
255	1.263425874	50.755695
256	1.258714236	50.809574
257	1.2646901667	50.798155
258	1.2697147015	50.799692
259	1.2624772202	50.807137
260	1.2591980482	50.788494
