 					
Number	Benchmark	MAPE (n^2 25%)	MAPE (n^2 50%)	MAPE (n^2 75%)	MAPE (n^2 95%)
1	blackscholes	1.2966252322	1.9380891803	0.628507091	1.2026840091
2	bodytrack	0.5467134849	0.6041245054	1.7240063095	1.8122420161
3	facesim	3.5143656973	3.3772771139	1.2335252615	6.0904958051
4	ferret	17.9580843994	0.8920975971	0.1197567793	4.0964478214
5	x264	27.8367654838	6.5223895689	8.3246916998	16.2277980231
6	dijkstra	3.6727716899	0.8638056089	1.0301048844	2.1921414821
7	sha	1.396391323	1.6223663495	2.0838826689	1.6980597319
8	stream	0	0.2621838772	0.2754434278	1.7593172368
9	Average	7.0277146638	2.0102917252	1.9274897653	4.3848982657

