Frame	Latency_Norm	Power
0	0	0
1	0.5322200411	158.710123
2	0.5420460097	154.32203
3	0.5700926258	146.702374
4	0.5660157585	149.167661
5	0.6066973964	144.109142
6	0.6169650951	142.357272
7	0.6094422329	144.224369
8	0.6025030036	145.51251
9	0.5953656736	146.837371
10	0.5908905973	147.903854
11	0.5867772073	148.556558
12	0.5839933867	149.172097
13	0.5806007537	149.870962
14	0.5780767584	150.586724
15	0.5760178311	151.161478
16	0.5744220445	151.549172
17	0.5733626141	151.793029
18	0.5715326935	152.212031
19	0.5707495083	152.360668
20	0.5685739029	152.667488
21	0.5660892854	153.052348
22	0.5644366862	153.213369
23	0.5627266178	153.482919
24	0.5616516105	153.636121
25	0.5690798974	152.991025
26	0.570343418	152.637958
27	0.5773519419	151.033512
28	0.5761890191	151.193963
29	0.5747393727	151.191793
30	0.573475664	151.484071
31	0.5720149513	151.726322
32	0.5710433962	151.935679
33	0.570152972	152.072778
34	0.5694676759	152.220345
35	0.5693750966	152.169413
36	0.5687086049	152.312187
37	0.5676839912	152.410402
38	0.5673865608	152.489956
39	0.567782384	152.255295
40	0.6004719552	145.572844
41	0.6155353842	141.393871
42	0.6271670271	138.113871
43	0.6372186145	135.278193
44	0.6490430415	132.042728
45	0.6562477549	129.397221
46	0.6652422896	126.785355
47	0.6771498975	123.774193
48	0.6894725435	120.898971
49	0.7023136429	118.062396
50	0.7147923838	115.324424
51	0.7287770766	112.605773
52	0.740147901	110.165819
53	0.7526174252	107.709482
54	0.7659778443	105.215692
55	0.7820671991	102.54319
56	0.7933286903	100.39141
57	0.8051407815	98.274326
58	0.8173087936	96.202384
59	0.828695546	94.239971
60	0.8409370827	92.335778
61	0.8535251938	90.462098
62	0.8648953761	88.723801
63	0.8770122961	86.94853
64	0.8881460664	85.275233
65	0.8946075763	83.531546
66	0.9126980315	81.689125
67	0.920594709	80.373281
68	0.9322569364	78.871553
69	0.9452357754	77.457848
70	0.9670221279	75.583732
71	0.9795694045	74.181942
72	0.9920421252	72.79044
73	1.0279920893	70.911278
74	1.0360338009	69.84276
75	1.0440910013	68.837095
76	1.0525448388	67.795566
77	1.0612842797	66.818536
78	1.0699275054	65.811042
79	1.0770230177	64.939747
80	1.0808144904	64.39677
81	1.0774726971	64.533754
82	1.0778039744	64.533161
83	1.0796505058	64.500586
84	1.0795508216	64.497522
85	1.0788953588	64.508614
86	1.0800061447	64.485521
87	1.0800107489	64.492877
88	1.0795702969	64.489061
89	1.0786763846	64.517934
90	1.0784718848	64.51821
91	1.076198843	64.560147
92	1.0853182996	64.361475
93	1.0900444093	64.256623
94	1.1109280678	63.958004
95	1.1017596842	64.275261
96	1.0972644043	64.455664
97	1.0946888577	64.574345
98	1.0940070152	64.61727
99	1.0897757242	64.803845
100	1.0874056676	64.910285
101	1.0838576376	65.098693
102	1.0816669969	65.284257
103	1.0788020925	65.487144
104	1.0760225506	65.67177
105	1.0726762128	65.861665
106	1.0615282739	66.196577
107	1.0566453678	66.422916
108	1.0554970634	66.535933
109	1.051113288	66.730527
110	1.0439653651	67.071795
111	1.0414014633	67.257686
112	1.0384254301	67.455256
113	1.0184689972	67.861281
114	1.0215353084	67.854597
115	1.0244030325	67.837906
116	1.0273588362	67.84519
117	1.0317576358	67.849172
118	1.0312339039	67.901022
119	1.0324325088	67.899934
120	1.032134699	67.959206
121	1.0364412752	67.884027
122	1.0365861726	67.923154
123	1.0404073688	67.893087
124	1.0407296391	67.904313
125	1.0411288357	67.930801
126	1.0677009505	67.480218
127	1.0696432022	67.47235
128	1.0681628442	67.588861
129	1.0699760086	67.668688
130	1.0699183174	67.714402
131	1.0726180787	67.974232
132	1.0670328274	68.43259
133	1.0650964529	68.785945
134	1.0460950785	69.442626
135	1.0567743687	69.470904
136	1.062038415	69.668306
137	1.068785487	69.761246
138	1.0683829771	70.112742
139	1.078637193	70.114331
140	1.0897935386	70.210933
141	1.0999456974	70.307862
142	1.1150846599	70.478332
143	1.1259794725	70.645095
144	1.1285429753	70.743219
145	1.1387878173	70.656507
146	1.1503278737	70.618959
147	1.1613125827	70.62132
148	1.1619684663	70.875675
149	1.1743182773	70.981841
150	1.1779536063	71.121011
151	1.1856997743	71.26256
152	1.1943711801	71.209532
153	1.1921506916	71.570024
154	1.2003539149	71.57757
155	1.2075632866	71.614019
156	1.2153320535	71.558151
157	1.2205057165	71.662946
158	1.2294778311	71.681826
159	1.2403689837	71.752002
160	1.2452451298	72.226877
161	1.2468529268	72.41091
162	1.267420782	72.480857
163	1.2602941991	73.000912
164	1.2577881497	73.406799
165	1.2550787339	73.794598
166	1.2248076407	74.710364
167	1.222238894	75.176939
168	1.2213365568	75.490502
169	1.2185777306	75.689955
170	1.2165409228	76.038666
171	1.2124623259	76.246177
172	1.2096084291	76.56396
173	1.2048080083	76.819978
174	1.201184874	77.09706
175	1.1957442832	77.344201
176	1.1959904107	77.57614
177	1.1889996258	78.076766
178	1.193094682	78.302114
179	1.1888208915	78.734832
180	1.1859665823	79.216459
181	1.1800923391	79.731944
