Frame	Latency_Norm	Power
182	1.1695244098	79.969205
183	1.1640067071	80.36823
184	1.167964875	80.665323
185	1.1628942479	81.162416
186	1.1558197043	81.58838
187	1.1430587681	82.137206
188	1.1377347701	82.439741
189	1.1296851835	82.883697
190	1.1232218733	83.298037
191	1.1186494016	83.652468
192	1.1168846208	84.377363
193	1.1148185347	84.707095
194	1.1099493965	85.157387
195	1.1033585654	85.483445
196	1.0927995295	86.016569
197	1.0881508108	86.30653
198	1.0815726351	86.596828
199	1.0712241428	86.821352
200	1.0480804131	87.688289
201	1.0402306465	88.313679
202	1.0181527253	89.357146
203	1.0164670334	89.655092
204	1.0162238805	89.818927
205	1.0179616657	90.196893
206	1.0183119282	90.506294
207	1.0155268714	90.65455
208	1.0152166279	90.839319
209	1.0145488982	91.132251
210	1.0147329884	91.263555
211	1.0145754442	91.380326
212	1.0126634902	91.443348
213	1.014009069	91.538363
214	1.0145230307	91.652347
215	1.0117330415	91.751307
216	1.010130009	91.704824
217	1.0130523801	91.439067
218	1.0119353783	91.557441
219	1.0107676009	91.667123
220	1.0042250125	91.816435
221	1.0024439848	91.615251
222	1.0001639743	91.791124
223	0.9981102883	91.75182
224	0.9964719648	91.816702
225	0.9939386742	92.004095
226	0.9884313218	92.420705
227	0.9937920686	92.254138
228	1.0003348489	92.085484
229	1.0038853003	92.181023
230	1.0031436675	92.247772
231	1.0009921676	92.226749
232	0.9960911287	92.081352
233	1.011395365	92.34163
234	1.005967372	92.83505
235	1.0000196056	93.382406
236	0.9977296399	93.882295
237	0.9919610692	94.686687
238	0.9874980153	95.232233
239	0.9862236239	96.053389
240	0.9926165005	96.364826
241	0.9898753981	96.544112
242	0.9879262414	96.461227
243	0.987492498	96.283033
244	0.987726459	96.250455
245	0.9852762138	96.198928
246	0.9817521977	96.267213
247	0.9841487308	96.216769
248	0.9865338134	96.08073
249	0.9871891426	96.072469
250	0.986736957	96.098627
251	0.9865742818	96.032679
252	0.9870997749	96.040165
253	0.9854541777	96.210637
254	0.9856570046	96.348908
255	0.987993667	96.389509
256	0.9876948813	96.4224
257	0.9850083032	96.556336
258	0.9802995899	96.46084
259	0.9787075729	96.52929
260	0.9786967339	96.549121
