Index	Benchmark	25%	50%	75%	95%
1	blackscholes	1.2888286879	1.1184438685	1.0903138703	1.0450655317
2	bodytrack	1.3407057093	1.1718819181	1.129660804	1.1454824409
3	facesim	1.2869481699	1.167561813	1.1100030479	1.0563749376
4	ferret	1.1649836253	1.1736647879	1.1090452726	1.0767974673
5	x264	1.0784406633	1.2046691355	1.2880252343	1.021748475
6	dijkstra	1.2812888399	1.1005389792	1.1559131306	1.1049616164
7	sha	1.3411940766	1.1136588409	1.0918310801	1.103685823
8	stream	1.3866268443	1.0739264926	1.0257284437	1.0565844495
9	AVG	1.2711270771	1.1405432295	1.1250651104	1.0763375927
