ID,powercap,Rate,Power,speedup,powerup,powercap_norm
1,50,0.210177,62.802864,1.42403095,1,1
2,60,0.231986,70.213272,1.5717954104,1.1179947462,1.2
3,70,0.234953,68.71933,1.5918979897,1.0942069457,1.4
4,80,0.239327,77.597569,1.6215335416,1.2355737312,1.6
5,90,0.228719,82.973909,1.5496602142,1.3211803366,1.8
6,100,0.202432,85.983403,1.3715555616,1.3691000302,2
7,110,0.195791,92.663872,1.3265602027,1.475472074,2.2
8,120,0.178501,99.421847,1.2094137256,1.5830782335,2.4
9,130,0.161673,101.335602,1.0953974782,1.6135506495,2.6
10,140,0.16554,109.6108,1.1215979078,1.7453153092,2.8
11,150,0.166647,112.901402,1.1290982635,1.7977110407,3
12,160,0.147593,118.518557,1,1.887152105,3.2
13,170,0.175616,124.921252,1.1898667281,1.9891011977,3.4
14,180,0.162945,129.196029,1.1040157731,2.0571677909,3.6
15,190,0.156478,133.459808,1.0601993319,2.1250592648,3.8
16,200,0.162127,139.28122,1.0984735048,2.2177526808,4
17,210,0.158147,147.165974,1.0715074563,2.3433003629,4.2
18,220,0.159438,147.843804,1.0802544836,2.354093342,4.4
19,230,0.165534,149.014551,1.1215572554,2.37273496,4.6
20,240,0.175497,149.818212,1.1890604568,2.3855315261,4.8
21,250,0.166954,148.002412,1.1311783079,2.3566188319,5
22,260,0.15158,147.384418,1.0270134762,2.3467786119,5.2
23,270,0.169224,150.301494,1.1465584411,2.3932267484,5.4
24,280,0.168918,150.379709,1.1444851721,2.3944721534,5.6
25,290,0.166217,147.931519,1.1261848462,2.355490014,5.8
26,300,0.155547,149.670106,1.0538914447,2.3831732578,6
