ID,freq,Rate,Power,speedup,powerup,freq_norm
1,3.3,7.993895,183.863723,1.479207827,2.9893685114,2.75
2,2.9,8.856319,149.010737,1.6387926515,2.4227074149,2.4166666667
3,2.8,8.934349,141.14953,1.6532314935,2.2948951185,2.3333333333
4,2.7,9.023106,135.236147,1.6696552831,2.1987517322,2.25
5,2.5,8.548423,121.527438,1.5818189018,1.975867183,2.0833333333
6,2.4,8.487944,115.812583,1.5706277353,1.8829515861,2
7,2.3,8.399967,110.490385,1.5543482786,1.796420046,1.9166666667
8,2.2,8.352159,105.07087,1.5455017817,1.7083062668,1.8333333333
9,2,7.820991,94.301903,1.4472132924,1.5332178354,1.6666666667
10,1.9,7.542418,89.243285,1.3956655348,1.4509717397,1.5833333333
11,1.8,7.448383,85.206402,1.3782650925,1.3853376346,1.5
12,1.7,7.088288,80.46998,1.3116323256,1.3083299979,1.4166666667
13,1.6,6.028503,75.782987,1.1155273897,1.232126008,1.3333333333
14,1.4,6.120771,68.593638,1.1326008623,1.1152371886,1.1666666667
15,1.3,5.777803,64.96187,1.069137313,1.0561896901,1.0833333333
16,1.2,5.404173,61.505874,1,1,1
