ID	Application	10.00%	30.00%	50.00%	70.00%	90.00%
1	blackscholes	1.310048	1.291329	1.236481	1.13961	1.042331
2	bodytrack	1.272571	1.255581	1.2202	1.150842	1.070199
3	facesim	1.315881	1.310169	1.296815	1.236635	1.153256
4	ferret	1.296279	1.290394	1.247562	1.176134	1.107196
5	fluidanimate	1.277279	1.257955	1.238172	1.186046	1.097586
6	freqmine	1.358423	1.354707	1.369945	1.350787	1.355353
7	raytrace	1.348471	1.313589	1.252851	1.183968	1.100184
8	swaptions	1.375733	1.348794	1.287707	1.204123	1.107576
9	vips	1.343719	1.310256	1.245579	1.160725	1.052467
10	x264	1.337629	1.319662	1.246193	1.182085	1.14288
11	canneal	1.422248	1.283747	1.133636	1.099474	1.030847
12	dedup	1.167148	1.13179	1.160783	1.100469	1.04937
13	streamcluster	0.399202	0.36868	0.382589	0.359626	0.357471
14	stream	1.401411	1.39872	1.280518	1.265273	1.265153
15	swish	1.337569	1.325883	1.266684	1.161928	1.018579
16	hop	1.24481	1.237312	1.208827	1.206033	1.227564
17	kmeans	1.637609	1.668216	1.595119	1.533767	1.353162
18	kmeans_fuzzy	1.554068	1.581571	1.515371	1.425219	1.294205
19	scalparc	1.512846	1.513641	1.415731	1.307545	1.194857
20	svmrfe	1.430774	1.435755	1.4119	1.375362	1.273851
21	Average	1.3171859	1.29988755	1.25063315	1.19028255	1.11470435
