ID	Application	10.00%	30.00%	50.00%	70.00%	90.00%
1	blackscholes	1.368723	1.3515	1.275206	1.172039	1.085105
2	bodytrack	1.283149	1.267456	1.223972	1.159907	1.089907
3	facesim	1.196314	1.176026	1.161681	1.117493	1.060657
4	ferret	1.314059	1.284013	1.223973	1.132607	1.057851
5	fluidanimate	1.302027	1.238712	1.140185	1.034024	0.98235
6	freqmine	1.347621	1.345344	1.361008	1.365754	1.348254
7	raytrace	1.353256	1.316336	1.237965	1.155923	1.064914
8	swaptions	1.383286	1.353856	1.280964	1.19217	1.111838
9	vips	1.346568	1.312942	1.243031	1.146665	1.059569
10	x264	1.383528	1.361014	1.278879	1.223346	1.108926
11	canneal	1.391742	1.087531	0.92361	0.899726	0.887353
12	dedup	1.218903	1.194307	1.205609	1.160164	1.109408
13	streamcluster	0.383927	0.366493	0.366631	0.356605	0.354843
14	stream	1.320168	1.308121	1.186797	1.05953	1.112077
15	swish	1.412316	1.386024	1.309125	0.929389	1.069586
16	hop	1.375617	1.240305	1.269321	1.297593	1.166093
17	kmeans	1.711098	1.628128	1.576051	1.442883	1.214324
18	kmeans_fuzzy	1.639344	1.563167	1.451789	1.310028	1.161177
19	scalparc	1.509218	1.449444	1.353512	1.216091	1.089374
20	svmrfe	1.443823	1.386087	1.390174	1.307514	1.163045
21	Average	1.33423435	1.2808403	1.22297415	1.13397255	1.06483255
