ID	Application	10.00%	30.00%	50.00%	70.00%	90.00%
1	blackscholes	1.305783	1.287243	1.246423	1.165484	1.079408
2	bodytrack	1.269214	1.247003	1.218586	1.15299	1.08871
3	facesim	1.32618	1.320486	1.297053	1.264054	1.199069
4	ferret	1.310097	1.301736	1.261701	1.200831	1.136423
5	fluidanimate	1.285213	1.266425	1.248019	1.195615	1.161025
6	freqmine	1.339854	1.356797	1.35496	1.364692	1.367169
7	raytrace	1.34219	1.330806	1.276301	1.217758	1.143831
8	swaptions	1.38037	1.355172	1.29877	1.222952	1.129542
9	vips	1.315935	1.319045	1.261404	1.180786	1.08225
10	x264	1.335059	1.328628	1.302369	1.247238	1.166191
11	canneal	1.510332	1.42787	1.27953	1.262807	1.13565
12	dedup	1.168646	1.136242	1.169618	1.114106	1.035484
13	streamcluster	0.378865	0.367159	0.366011	0.354405	0.39098
14	stream	1.411552	1.341917	1.374586	1.355216	1.193421
15	swish	1.34303	1.334883	1.269989	1.176036	1.030101
16	hop	1.247516	1.272227	1.243006	1.255057	1.190318
17	kmeans	1.642509	1.648626	1.605479	1.534228	1.421549
18	kmeans_fuzzy	1.572238	1.5827	1.520496	1.436563	1.341976
19	scalparc	1.510008	1.512891	1.42996	1.349224	1.251294
20	svmrfe	1.42174	1.441989	1.422031	1.382161	1.336205
21	Average	1.32081655	1.30899225	1.2723146	1.22161015	1.1440298
