ID	Application	10.00%	30.00%	50.00%	70.00%	90.00%
1	blackscholes	1.8774572548	2.1234828328	3.1185595413	3.8303226137	4.8059360138
2	bodytrack	0.0568825175	1.5915794153	3.971324358	4.4022932326	6.7598704684
3	facesim	0	0.0465440631	3.1991465051	5.9547518443	9.7697610742
4	ferret	6.0646802037	8.2002931678	8.7104045598	9.860292395	11.7989345439
5	fluidanimate	5.5464940572	7.6775898911	9.8031425553	12.0186975751	13.8694153234
6	freqmine	8.3296227447	10.4768923189	12.3277215023	13.8763859858	15.1006695722
7	raytrace	9.1384069028	10.6441436774	11.332420752	12.1925376135	12.8702767337
8	swaptions	5.0889369539	4.0736182025	4.5029422322	5.0965427669	5.5929918558
9	vips	4.1364602846	4.8240920508	5.2502033709	5.837233041	7.5354653695
10	x264	10.5060079038	15.7825646928	17.7608698255	16.9721428542	19.4419082759
11	canneal	1.9336482693	4.21689714	8.149715966	10.695769777	15.4827919893
12	dedup	5.2407648655	6.15346831	7.2009288326	7.5682405477	10.2141681531
13	streamcluster	27.0489091337	30.9891022386	35.6224603564	42.0601983394	36.7547982917
14	stream	3.3493168446	3.6587766353	3.9892310857	3.3989884724	3.1217979861
15	swish	0.6674729601	0.6474973966	0.8017845697	1.005049283	1.6621617987
16	hop	0.2291055278	2.826572755	3.8592818986	4.4483399812	3.9646399913
17	kmeans	0.5686517454	1.0656616925	0.7793055533	3.4198106496	5.0736193911
18	kmeans_fuzzy	1.1478091934	1.8500039911	2.4587530425	3.5985170978	6.2031068197
19	scalparc	1.2303283924	2.1850476292	3.4078990556	5.2940088722	7.4440802119
20	svmrfe	5.6659189602	6.7746701425	7.3502182029	7.3843445691	9.1601882469
21	Average	4.8913437358	6.2904249122	7.6798156883	8.9457233756	10.3313291055
