ID	Application	10.00%	30.00%	50.00%	70.00%	90.00%
1	blackscholes	0	0.1841654505	0.0985773685	0.3026455678	2.6825918322
2	bodytrack	0.226325761	0.4392709557	0.2431540972	0.7145924774	4.2013707995
3	facesim	4.1237228587	4.1485516358	3.1821706577	2.4904417314	5.1013577704
4	ferret	0.4563391595	0.7145033967	0.6571408733	0.8409385332	3.9998294349
5	fluidanimate	1.3469574761	1.6655169498	2.3439106772	3.4792699771	9.3240001905
6	freqmine	8.2524021241	10.4829083105	12.3270478114	13.7490272562	15.1263870442
7	raytrace	1.1133462709	0.9632742686	1.1158572285	1.1494955361	3.4265554964
8	swaptions	0.1100833627	0.3633280671	0.3167696731	0.3879279086	2.5533613863
9	vips	0.1631117107	0.2560657384	0.1898598609	0.5339568624	3.8247616539
10	x264	2.2449451667	4.8463995164	7.2593006978	5.7802322707	6.4918926173
11	canneal	1.2382040846	5.2088291269	8.1499759433	14.0678391324	22.9477837354
12	dedup	4.8834952347	7.7602706385	11.5319100604	9.5089605203	16.2526055709
13	streamcluster	22.6862523192	29.738640907	33.6417720609	39.1736675164	46.163772827
14	stream	0.2319940006	1.0287366104	0.6257549825	0.7239288601	1.2140569254
15	swish	0.0222936816	0.0300183251	0.0505983282	4.0221563782	4.0657071622
16	hop	0.1538205335	0.2340483416	1.1318620686	0.7415701444	0.0939535227
17	kmeans	0.0408252347	0	0.0518076111	0.0204201959	0.0984910129
18	kmeans_fuzzy	0	0.0561836864	0	0.0152070777	0.9756324651
19	scalparc	0.0158057683	0	0.0013479371	0.2303165888	2.0643234036
20	svmrfe	0.3744555076	0.0005836905	0.2493487386	0.0342912052	1.1763110302
21	Average	2.3842190128	3.4060647808	4.1584083338	4.898344287	7.589237294
