ID	Application	10.00%	30.00%	50.00%	70.00%	90.00%
1	blackscholes	1.0507106077	1.0800028885	0.729351786	1.3312240489	2.6501861193
2	bodytrack	1.6266954904	1.2921864866	1.4548104848	1.4999514556	4.2994225563
3	facesim	4.9997946932	5.2877970667	4.4802268226	3.3177068939	6.2466851327
4	ferret	1.4824195461	2.6224565108	2.5376735732	2.4864213041	4.6233415624
5	fluidanimate	4.1085460056	3.972620507	3.4541316981	4.4848635457	8.669975706
6	freqmine	8.3619657487	10.5559477277	12.2831943927	13.977415755	15.2747756862
7	raytrace	2.3329337915	1.8937862239	2.4038536429	2.8817903587	4.0178633761
8	swaptions	1.0631852537	0.9969575845	1.5978438661	1.0411915134	3.0220663106
9	vips	0.6810127283	2.1130716906	1.3952600589	0.8890111891	4.7669223633
10	x264	4.3814174279	7.2717593638	6.9101886222	7.4438890083	7.8524148406
11	canneal	2.5718506473	0.8683332361	1.7440369404	10.127521738	6.2723569232
12	dedup	4.5712579474	5.6247559977	8.7380917402	8.7482756982	12.1385656386
13	streamcluster	30.9588259901	32.1990962315	31.3858549938	40.3632286822	45.5997699286
14	stream	0.9276852701	1.0818503635	2.1897188012	1.8215285917	2.7776219751
15	swish	0.4873522424	1.1690860353	1.1342703858	0.5421181146	4.6443713889
16	hop	0.1059382806	1.0084883446	1.6736363952	1.1526602438	1.2139922635
17	kmeans	0.2573958583	0.1928576866	5.1167744002	0.0924870115	0.4684154984
18	kmeans_fuzzy	0.2564758682	0.4827146788	0.428966025	0.6846192098	0.8918405875
19	scalparc	0.2002926284	0.3212108557	0.7150866484	1.3479309886	2.2839581387
20	svmrfe	0.2735014038	0.2018413837	0.7487178886	1.3602480167	2.0639063716
21	Average	3.5349628715	4.0118410432	4.5560844583	5.2797041684	6.9889226184
