# Time,Power_Norm,EE_Norm,Cum_Energy_Norm
0.000,0.240,0.279,0.000
1.000,0.206,0.020,0.000
2.000,0.226,0.014,0.001
3.000,0.243,0.034,0.001
4.000,0.259,0.084,0.001
5.000,0.269,0.128,0.001
6.000,0.235,0.053,0.001
7.000,0.239,0.047,0.002
8.000,0.270,0.116,0.002
9.000,0.297,0.198,0.002
10.000,0.272,0.131,0.002
11.000,0.270,0.139,0.002
12.000,0.280,0.132,0.003
13.000,0.282,0.167,0.003
14.000,0.267,0.124,0.003
15.000,0.263,0.103,0.003
16.000,0.260,0.094,0.004
17.000,0.267,0.114,0.004
18.000,0.258,0.092,0.004
19.000,0.256,0.083,0.004
20.000,0.275,0.155,0.004
21.000,0.281,0.160,0.005
22.000,0.300,0.223,0.005
23.000,0.297,0.211,0.005
24.000,0.278,0.161,0.005
25.000,0.273,0.140,0.005
26.000,0.280,0.162,0.006
27.000,0.288,0.180,0.006
28.000,0.289,0.173,0.006
29.000,0.283,0.163,0.006
30.000,0.285,0.184,0.007
31.000,0.293,0.192,0.007
32.000,0.299,0.212,0.007
33.000,0.294,0.198,0.007
34.000,0.268,0.141,0.008
35.000,0.313,0.180,0.008
36.000,0.269,0.149,0.008
37.000,0.248,0.071,0.008
38.000,0.264,0.146,0.008
39.000,0.296,0.194,0.009
40.000,0.288,0.180,0.009
41.000,0.292,0.195,0.009
42.000,0.274,0.165,0.009
43.000,0.295,0.206,0.010
44.000,0.302,0.226,0.010
45.000,0.293,0.201,0.010
46.000,0.274,0.181,0.010
47.000,0.291,0.187,0.011
48.000,0.273,0.136,0.011
49.000,0.269,0.111,0.011
50.000,0.278,0.172,0.011
51.000,0.310,0.162,0.011
52.000,0.273,0.221,0.012
53.000,0.288,0.181,0.012
54.000,0.285,0.195,0.012
55.000,0.294,0.201,0.012
56.000,0.280,0.153,0.013
57.000,0.286,0.170,0.013
58.000,0.265,0.147,0.013
59.000,0.285,0.162,0.013
60.000,0.301,0.212,0.013
61.000,0.293,0.164,0.014
62.000,0.282,0.193,0.014
63.000,0.299,0.190,0.014
64.000,0.279,0.150,0.014
65.000,0.277,0.154,0.015
66.000,0.284,0.192,0.015
67.000,0.296,0.192,0.015
68.000,0.281,0.144,0.015
69.000,0.262,0.098,0.016
70.000,0.260,0.112,0.016
71.000,0.293,0.187,0.016
72.000,0.289,0.173,0.016
73.000,0.314,0.234,0.016
74.000,0.292,0.196,0.017
75.000,0.274,0.128,0.017
76.000,0.294,0.188,0.017
