ID	Application	30.00%
1	blackscholes	5.6247529674
2	bodytrack	4.5724111929
3	facesim	28.5921008997
4	ferret	0.8487285287
5	fluidanimate	7.7520846339
6	freqmine	10.7194743227
7	raytrace	9.5560967957
8	swaptions	0.434872288
9	vips	5.5051620413
10	x264	4.8037402928
11	canneal	61.8352754899
12	dedup	30.5357886888
13	streamcluster	27.238887868
14	stream	55.6328911376
15	swish	0.3109254859
16	hop	4.2966458232
17	kmeans	0.3342802068
18	kmeans_fuzzy	10.6846634363
19	scalparc	0.1414541202
20	svmrfe	18.648650838
21	Average	14.4034443529
