ID	Application	30.00%
1	blackscholes	8.800339195
2	bodytrack	6.8502069357
3	facesim	33.9417676047
4	ferret	5.5102427557
5	fluidanimate	13.3842320476
6	freqmine	10.9225589304
7	raytrace	18.4972877297
8	swaptions	2.6505559748
9	vips	9.4964154237
10	x264	9.748350954
11	canneal	61.2994082517
12	dedup	28.1123094484
13	streamcluster	33.4137998839
14	stream	54.633577715
15	swish	1.3771257592
16	hop	7.1537892287
17	kmeans	1.7289823491
18	kmeans_fuzzy	12.0412528632
19	scalparc	1.9664576345
20	svmrfe	18.2524463629
21	Average	16.9890553524
