ID	Application	30.00%
1	blackscholes	7.1330735705
2	bodytrack	6.1431400108
3	facesim	28.7413427079
4	ferret	1.7702281608
5	fluidanimate	9.8511062207
6	freqmine	10.9735463293
7	raytrace	11.5524353992
8	swaptions	2.0073194849
9	vips	7.3161332845
10	x264	7.7906074488
11	canneal	69.2418617227
12	dedup	33.4708380427
13	streamcluster	32.586248106
14	stream	55.2770185063
15	swish	1.4903806195
16	hop	6.1682026502
17	kmeans	0.7638002548
18	kmeans_fuzzy	10.5660018312
19	scalparc	0.4974902313
20	svmrfe	17.0253562446
21	Average	16.0183065413
