Time	EXEC_CV	DRAM_CV
5	0.0145051438	0.0599622345
6	0.0236690042	0.0036935584
7	0.0229656719	0.0045518946
8	0.5705063959	0.0133770113
9	0.6500652708	0.0275156385
10	0.5728569205	0.0331705009
11	0.4541178946	0.036791756
12	0.2012692522	0.0264858542
13	0.4851369264	0.0174458709
14	0.4847480235	0.0356737069
15	0.5868912578	0.0392676571
16	0.6287353669	0.0471376057
17	0.7196939841	0.047559721
18	0.5010003435	0.0385211518
19	0.4605858203	0.0358530924
20	0.3017702369	0.0283333516
21	0.4165506341	0.0269472536
22	0.4069393164	0.0259272473
23	0.3691599849	0.0271260695
24	0.3704818169	0.0291529816
25	0.3123249711	0.0310810087
26	0.4360090853	0.0363701425
27	0.4410692804	0.0364791183
28	0.4379307714	0.036241988
29	0.4398837298	0.0361933545
30	0.5753919764	0.0378931903
31	0.542932875	0.0460074512
32	0.6987797102	0.0482299337
33	0.7728953276	0.0405509536
34	0.1427957974	0.0102810428
35	0.0493583398	0.0021065172
36	0.0385322174	0.0019695387
37	0.0351193832	0.0021065172
38	0.0371599402	0.0021065172
39	0.0376211186	0.0026865585
40	0.0335211839	0.0016677047
41	0.0254982221	0.0012930183
42	0.0321155385	0.0012930183
43	0.034412545	0.0012936291
44	0.036399102	0.0012930183
45	0.0320797453	0.0012936291
46	0.0180991521	0.0019769849
47	0.0180991521	0.0019769849
48	0.0197538278	0.0019769849
49	0.0199445374	0.0016716472
50	0.0157538619	0.0019788553
51	0.0137560933	0.0016716472
52	0.0319789043	0.0021174886
53	0.0364118517	0.0059116332
54	0.0466436015	0.0054190847
55	0.049829106	0.0052089639
56	0.0306709068	0.0041239305
57	0.0404019382	0.0041239305
58	0.0559762993	0.001302241
59	0.0539223966	0.001302241
60	0.0583383173	0.001302241
61	0.0400154929	0.0031029045
62	0.0476226544	0.0060847488
63	0.2866124823	0.0232232656
64	0.2878284754	0.0235800723
65	0.351918535	0.0483521809
66	0.3812416325	0.0529212231
67	0.3181642935	0.0459285622
68	0.3171227164	0.0437401691
69	0.2452221255	0.0142143383
70	0.3969162447	0.0371669316
71	0.4624584989	0.0371669316
72	0.5325322338	0.0368725839
73	0.4824246598	0.0372606348
74	0.4132169693	0.0357387727
75	0.2656511209	0.0256288416
76	0.3985642088	0.0274104241
77	0.3864493776	0.0241680412
78	0.3243891664	0.0248890735
79	0.3120830278	0.0247246083
80	0.2852212303	0.0218951539
81	0.4250298748	0.0491102048
82	0.4288120195	0.0511301615
83	0.3614138856	0.0505125687
84	0.3542387401	0.0503360486
85	0.4276646163	0.0487957085
86	0.262962843	0.0201479056
87	0.3938590448	0.0353097624
88	0.6509655957	0.0411612284
89	0.9307188275	0.0353026284
90	1.2157930077	0.0501561208
91	0.7689012516	0.0758107361
92	0.567045727	0.0763624946
93	0.489943192	0.0544971629
94	1.0511309256	0.0369678504
95	1.0545311107	0.1203532191
96	0.7949937398	0.1138158665
97	0.7308027909	0.1462551132
98	0.6642129818	0.169955609
99	0.8175417362	0.1891517804
100	0.6286600533	0.0998129587
101	0.0098107956	0.0012602912
102	0.0106539874	0.0012602912
103	0.0113692662	0.0078317898
104	0.0129394203	0.0075579608
105	0.0141529227	0.0075579608
106	0.0033439649	0.0070527061
107	0.0060808945	0.0070527061
108	0.0087346831	0.0020637452
109	0.0083817467	0.0023094688
110	0.0093432341	0.0020675617
111	0.0053174571	0.002068518
112	0.0036566933	0
113	0.0036566933	0.0020723522
114	0.0018313415	0.0020723522
115	0.0028979786	0.0020733129
116	0.011428696	0.0023201856
117	0.0225164203	0.0020771649
118	0.045234663	0.003447791
119	0.0734214805	0.0026540396
120	0.0840412833	0.0019493477
121	0.1079429775	0.0016482676
122	0.0948822441	0.0835946337
123	0.1587376725	0.0956788577
124	0.1920084687	0.0909847326
125	0.205916989	0.0715928706
126	0.2205228963	0.049378613
127	0.5711244606	0.0840733527
128	0.5505509448	0.0938173399
129	0.4582841744	0.0855023446
130	0.293199414	0.0354452321
131	0.069915599	0.0010668263
132	0.0461691386	0.0010668263
133	0.0017102617	0
134	0.0051003276	0.0010668263
135	0.0117987813	0.0010668263
136	0.0229260457	0.001305967
137	0.0371058545	0.0013053445
138	0.0394635781	0.0016835876
139	0.0352164595	0.0019910995
140	0.0309814826	0.0013028605
141	0.0271486778	0.0019910995
142	0.0275037282	0.0019910995
143	0.0251356011	0.0016835876
144	0.0345559292	0.0010653016
145	0.0590513276	0.0013053445
146	0.184677864	0.0013053445
147	0.2484385529	0.0013053445
148	0.28238188	0.0013053445
149	0.2880313866	0.0013053445
150	0.260384207	0.0062295293
151	1.1554462898	0.0510156653
152	1.0513447648	0.0835290754
153	0.7832252911	0.0777339416
154	0.5626628332	0.0659703042
155	0.3898512773	0.0357053841
156	0.531396863	0.0598793353
157	0.5064249553	0.0432003832
158	0.3603818784	0.0479078778
159	0.1720978016	0.0512522718
160	0.1432084423	0.0239549004
161	0.1342845034	0.0248848076
162	0.0911509298	0.0085729114
163	0.107276961	0.0092122502
164	0.098187003	0.0093659788
165	0.1122028058	0.0103466239
166	0.1168370692	0.0091949258
167	0.1674545951	0.0197741653
168	0.1618743426	0.0300467795
169	0.1842710279	0.0296324226
170	0.1892768496	0.0322969471
171	0.1883676067	0.033814226
172	0.178997368	0.0266455195
173	0.190516991	0.0266455195
174	0.1850353528	0.0291401712
175	0.1694807353	0.0220876175
176	0.1556535847	0.0221769609
177	0.2220612748	0.0247453988
178	0.1914712881	0.0205926231
179	0.1353736465	0.0199589913
180	0.1050631476	0.019821026
181	0.065771212	0.0204726393
182	0.0915648462	0.0182270338
183	0.0790764338	0.0171693206
184	0.0772724918	0.0170498126
185	0.0770858899	0.0136065068
186	0.0820276006	0.0178703955
187	0.0479759298	0.0163873145
188	0.040426718	0.0161398517
189	0.057185986	0.0192879105
190	0.0765939628	0.0191571196
191	0.075086342	0.0141812543
192	0.065534789	0.0134868598
193	0.0749814792	0.0101452784
194	0.0949591434	0.0131269682
195	0.0990008455	0.0102027902
196	0.0992792426	0.0102027902
197	0.0378699256	0.0097571066
198	0.0506814473	0.003553121
199	0.0499687371	0.0108083461
200	0.0525482127	0.0135900592
201	0.0606313766	0.0119151047
202	0.0580727673	0.0106751725
203	0.0789750601	0.0121904451
