Time	EXEC_CV	DRAM_CV
132	0.3939322821	0.1466515487
133	0.233436403	0.0835529621
134	0.2037450368	0.0504623825
135	0.1519593173	0.0194689954
136	0.1235558834	0.0230382378
137	0.0805249016	0.0159616105
138	0.0834345084	0.018914443
139	0.2965735973	0.0792548907
140	0.5202903977	0.1071862197
141	0.6818707831	0.1227812773
142	0.7635562089	0.1122319407
143	0.3648696647	0.0224239777
144	0.0446622374	0.0229043944
145	0.0587366389	0.0252076399
146	0.220496115	0.0495803016
147	1.4515888914	0.3006116771
148	1.0792696204	0.2952366663
149	1.1683539819	0.379428448
150	1.226528713	0.390970902
151	1.2673892442	0.3893621211
152	1.7203824107	0.3062316533
153	0.2729486391	0.1443683658
154	0.2847855748	0.1375647739
155	0.2545947397	0.1404899291
156	0.231096485	0.1245391195
157	1.2405299414	0.094553396
158	0.9989124602	0.1885924382
159	0.8105320864	0.3145000033
160	0.5601495641	0.3017676481
161	0.2412558125	0.2189950705
162	0.1609793484	0.1281280101
163	0.028490063	0.0020043519
164	0.0233270034	0.0013372133
165	0.0872587786	0.0415924615
166	0.4683724574	0.2497560558
167	0.5919685866	0.3226565116
168	0.5574378987	0.3475034213
169	0.5059209062	0.28816335
170	0.2903795329	0.0345635581
171	0.1797845122	0.005260907
172	0.2634700991	0.0029754461
173	0.2737319549	0.0029754461
174	0.2803585108	0.003459341
175	0.4362947943	0.0215604358
176	0.7211319055	0.0433796212
177	1.0906393292	0.0418266212
178	1.4998578393	0.0752549033
179	0.9838094061	0.30243129
180	0.86322735	0.3157710016
181	0.5850720786	0.2656499483
182	0.2496664976	0.1787784061
183	0.0220241041	0.0184549973
184	0.0137619286	0.0167301268
185	0.0120474213	0.0101415985
186	0.2616252818	0.1126975118
187	0.3538374935	0.1685285174
188	0.3538374935	0.1676373577
189	0.353308038	0.1670812612
190	0.3539136727	0.1664042662
191	0.2489139781	0.1407998813
192	0.0085546375	0.0090475137
193	0.0085546375	0.0113225347
194	0.0034402139	0.01205321
195	0.0096909417	0.0119922443
196	0.1439345625	0.070059424
197	0.548497502	0.2463074201
