 					
Number	Benchmark	MAPE (n^2 25%)	MAPE (n^2 50%)	MAPE (n^2 75%)	MAPE (n^2 95%)
1	blackscholes	0.723804307	0.509017142	0.438210699	0
2	bodytrack	1.4732278	1.042885991	1.462205669	2.145239428
3	facesim	0.074977641	2.241217828	3.596595614	1.350351077
4	ferret	4.984385614	4.458483077	1.7231564	5.445107122
5	x264	2.255402428	1.148315929	2.692101164	2.730021294
6	dijkstra	1.659340411	1.727521739	2.201950829	3.930112678
7	sha	0.808001801	0.674987055	0.371265569	0.969536565
8	stream	0.479588554	0.806388642	0.458424511	1.524034895
9	Average	1.557341069	1.576102175	1.617988807	2.261800382
