
Index	Benchmark	25%	50%	75%	95%
1	blackscholes	1.031910872	1.057763346	1.100667429	1.030452227
2	bodytrack	1.060285394	1.011594545	1.018785335	1.021611498
3	facesim	1.019685794	1.022377153	1.004166667	1.005882353
4	ferret	1.007536114	1.042768265	1.02511514	1.041159343
5	x264	1.011688312	1.026884449	1.017719885	1.001137656
6	dijkstra	1.039922502	1.010077691	1.162454906	1.025645044
7	sha	1.044846777	1.007092396	1.013926393	1.011340011
8	stream	1.005530417	1.007633588	1.03331879	1.01144102
9	AVG	1.027675773	1.023273929	1.047019318	1.018583644
