
Index	Benchmark	25%	50%	75%	95%
1	blackscholes	1.03697557	1.004371458	1.00840596	1.002641802
2	bodytrack	1.0078162	1.014948091	1.005650475	1.019543896
3	facesim	1.00101403	1.008645533	1.046399765	1.020905798
4	ferret	1.012692661	1.001947089	1.002424961	1.004615822
5	x264	1.007042254	1.010776995	1.023855999	1.00749043
6	dijkstra	1.050037724	1.01155371	1.009667935	1.008875491
7	sha	1.01508242	1.000654541	1.011672131	1.007313922
8	stream	1.00851312	1.00553207	1.009631068	1.025114074
9	AVG	1.017396747	1.007303686	1.014713537	1.012062654
