 
Frame	VaioStaticLatency	VaioPOETLatency	ODROIDStaticLatency	ODROIDPOETLatency	SmoothedODroidStatic	SmoothedODROIDPOET	   
66	0.974699	0.969329	0.962655	0.933744	1.038794	1.017409	   
67	0.973243	0.96257	0.970106	0.943521	1.030815	1.006867	   
68	0.972651	0.958284	0.969294	0.944774	1.031678	1.005532	   
69	0.972604	0.956528	0.978507	0.941822	1.021965	1.008683	   
70	0.973356	0.95489	0.974301	0.941213	1.026377	1.009336	   
71	0.976232	0.953407	0.977025	0.946194	1.023515	1.004022	   
72	0.977803	0.952133	0.990859	0.948557	1.009226	1.001521	   
73	0.980473	0.951219	1.002198	0.951535	0.997807	0.998387	   
74	0.982953	0.950545	1.005204	0.969591	0.994823	0.979794	   
75	0.984954	0.950127	1.01553	0.996785	0.984708	0.953064	   
76	0.987841	0.950155	1.034502	1.021975	0.966648	0.929573	   
77	0.991058	0.95055	1.043116	1.011915	0.958666	0.938814	   
78	0.994385	0.951271	1.037802	1.008034	0.963575	0.942429	   
79	0.996814	0.952223	1.034993	0.992321	0.96619	0.957352	   
80	0.999835	0.953399	1.023871	0.990238	0.976686	0.959365	   
81	1.002452	0.954903	1.023517	0.978594	0.977023	0.97078	   
82	1.005383	0.956967	1.022308	0.969013	0.978179	0.980379	   
83	1.009114	0.959253	1.017853	0.95994	0.98246	0.989645	   
84	1.013355	0.961795	1.014927	0.946694	0.985293	1.003492	   
85	1.017454	0.964441	1.010829	0.948869	0.989287	1.001192	   
86	1.020063	0.967199	1.013791	0.947484	0.986396	1.002656	   
87	1.021712	0.970047	1.014439	0.936638	0.985767	1.014266	   
88	1.022585	0.972811	1.018021	0.93889	0.982298	1.011833	   
89	1.022862	0.975471	1.013901	0.935949	0.98629	1.015013	   
90	1.022604	0.977936	1.019123	0.934529	0.981236	1.016554	   
91	1.017554	0.980141	0.99955	0.926457	1.00045	1.025411	   
92	1.014232	0.981799	0.989057	0.92824	1.011064	1.023443	   
93	1.009277	0.982691	0.988387	0.93956	1.011749	1.011111	   
94	1.004447	0.982814	0.973374	0.938382	1.027355	1.012381	   
95	0.9987	0.982358	0.980231	0.933726	1.020167	1.017429	   
96	0.992512	0.981237	0.963474	0.928451	1.037911	1.023209	   
97	0.987829	0.979584	0.968769	0.930199	1.032238	1.021287	   
98	0.982607	0.977449	0.98011	0.928882	1.020294	1.022734	   
99	0.97791	0.974995	0.976395	0.931557	1.024176	1.019798	   
100	0.973904	0.972224	0.978523	0.931722	1.021949	1.019617	   
101	0.971616	0.969294	0.974439	0.933078	1.026231	1.018136	   
102	0.971022	0.966402	0.978545	0.936259	1.021926	1.014677	   
103	0.971653	0.963732	0.972836	0.936803	1.027923	1.014087	   
104	0.973032	0.961427	0.970509	0.944707	1.030387	1.005602	   
105	0.973075	0.9596	0.969794	0.944597	1.031147	1.00572	   
106	0.973802	0.958203	0.968452	0.951099	1.032576	0.998845	   
107	0.974423	0.957067	0.966342	0.955641	1.03483	0.994097	   
108	0.97452	0.956219	0.966792	0.954759	1.034349	0.995016	   
109	0.975149	0.955599	0.970785	0.958662	1.030094	0.990965	   
110	0.974942	0.9553	0.970862	0.962793	1.030012	0.986713	   
111	0.977081	0.955289	0.985183	0.969329	1.01504	0.980059	   
